Survey,Classifier,Multiclass,Executors,Trees,Labeled,Recall,Precision,FPR,F1,F4,Time.Split,Time.Train,Time.Test,Repetition,SupervisedTrees,Semi-SupervisedTrees,Ratio.S-SSL
palfa,CoDRIFt,2,1,10,15,0.984848485,0.683491062,0.009936945,0.806952204,0.959951351,4.287804499,78.30589036,0.013053974,2,40,40,0.5
palfa,CoDRIFt,2,1,10,15,0.976388889,0.739221872,0.0082035,0.841412328,0.958303264,4.674490946,79.83091322,0.012312659,3,40,40,0.5
palfa,CoDRIFt,2,1,10,15,0.968503937,0.776025237,0.00705555,0.861646235,0.954576581,2.813146393,59.13839961,0.005180584,4,37,40,0.480519481
palfa,CoDRIFt,2,1,10,15,0.98448519,0.733964248,0.008365849,0.840963855,0.965107767,4.329298744,75.28147505,0.019172699,5,40,40,0.5
palfa,CoDRIFt,2,1,10,5,0.974963181,0.696109359,0.009546776,0.812269939,0.952517986,3.638590629,65.53473733,0.006638982,1,35,40,0.466666667
palfa,CoDRIFt,2,1,10,5,0.982378855,0.703470032,0.009316155,0.819852941,0.959989871,4.729652611,86.70193087,0.006468354,2,37,44,0.456790123
palfa,CoDRIFt,2,1,10,5,0.988439306,0.719242902,0.008823821,0.83262325,0.967146303,60.2544388,58.92661922,0.004823099,3,38,40,0.487179487
palfa,CoDRIFt,2,1,10,5,0.975967957,0.768664564,0.007284286,0.86,0.96072671,4.515479656,77.33022629,0.006662555,4,40,40,0.5
palfa,CoDRIFt,2,1,10,5,0.973049645,0.721345952,0.008761489,0.828502415,0.953478865,64.04661001,77.8474108,0.006336011,5,37,40,0.480519481
palfa,CoDRIFt,2,10,10,1,1,0.022082019,0.030067895,0.043209877,0.277389277,4.946852152,396.154954,0.004624443,1,56,20,0.736842105
palfa,CoDRIFt,2,10,10,1,1,0.006309148,0.030538051,0.012539185,0.097421203,3.790951228,326.9585391,0.004099659,2,51,26,0.662337662
